ranking,posicao,code_muni,municipio,valor,unidade_ou_indicador,classe_residuo_luminoso,perfil_luminoso
maior_area_acima_1,16,2310209,Paracuru,38.12244897959184,percent_area_above_1,menos luminoso que o esperado,perfil intermediário
maior_area_acima_1,17,2303501,Cascavel,36.40130216040249,percent_area_above_1,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_area_acima_1,18,2304954,Guaiúba,34.593023255813954,percent_area_above_1,muito menos luminoso que o esperado,"denso, mas menos luminoso que o esperado"
maior_area_acima_1,19,2307254,Jijoca De Jericoacoara,34.48275862068966,percent_area_above_1,próximo ao padrão esperado,perfil intermediário
maior_area_acima_1,20,2312403,São Gonçalo Do Amarante,34.19506462984724,percent_area_above_1,muito mais luminoso que o esperado,brilho excedente espalhado
maior_hotspot_index,1,2313302,Tauá,408.5131060588646,hotspot_index_max_over_mean,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_hotspot_index,2,2312205,Santa Quitéria,332.8817290175703,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,3,2305605,Independência,311.9557085866798,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,4,2310308,Parambu,259.70848631962116,hotspot_index_max_over_mean,mais luminoso que o esperado,perfil intermediário
maior_hotspot_index,5,2304707,Granja,228.2473573085071,hotspot_index_max_over_mean,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_hotspot_index,6,2306702,Jaguaretama,220.1499373830288,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,7,2313203,Tamboril,214.61289221179402,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,8,2300408,Aiuaba,212.13963168382534,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,9,2300309,Acopiara,190.2175804981357,hotspot_index_max_over_mean,próximo ao padrão esperado,perfil intermediário
maior_hotspot_index,10,2311405,Quixeramobim,187.50332158236623,hotspot_index_max_over_mean,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_hotspot_index,11,2304103,Crateús,181.763908227152,hotspot_index_max_over_mean,próximo ao padrão esperado,contribuinte relevante no total estadual
maior_hotspot_index,12,2306900,Jaguaribe,172.0244403903669,hotspot_index_max_over_mean,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_hotspot_index,13,2302800,Canindé,162.1026635578662,hotspot_index_max_over_mean,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_hotspot_index,14,2302404,Boa Viagem,156.78166923821027,hotspot_index_max_over_mean,mais luminoso que o esperado,contribuinte relevante no total estadual
maior_hotspot_index,15,2301851,Banabuiú,155.65796793101183,hotspot_index_max_over_mean,mais luminoso que o esperado,perfil intermediário
maior_hotspot_index,16,2309409,Novo Oriente,151.76947200109618,hotspot_index_max_over_mean,menos luminoso que o esperado,perfil intermediário
maior_hotspot_index,17,2313906,Uruoca,149.87831589419378,hotspot_index_max_over_mean,mais luminoso que o esperado,perfil intermediário
maior_hotspot_index,18,2311900,Saboeiro,147.60688472474337,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,19,2311009,Poranga,146.808556868602,hotspot_index_max_over_mean,muito mais luminoso que o esperado,brilho excedente pontual
maior_hotspot_index,20,2308708,Morada Nova,146.79620117168756,hotspot_index_max_over_mean,mais luminoso que o esperado,contribuinte relevante no total estadual
