code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1
2305308,Ibiapina,23,CE,Ceará,2,Nordeste,0.4689645033616286,0.0,780.35693359375,18.88365936279297,15.084134615384617
2305332,Ibicuitinga,23,CE,Ceará,2,Nordeste,0.422915553267667,0.0,724.8772583007812,14.932509422302246,8.8098016336056
2305357,Icapuí,23,CE,Ceará,2,Nordeste,0.7189106639710188,0.0,1227.8994140625,17.394338607788086,20.72599531615925
2305407,Icó,23,CE,Ceará,2,Nordeste,0.3602973592757674,0.0,2723.12744140625,42.70938491821289,7.065361206668431
2305506,Iguatu,23,CE,Ceará,2,Nordeste,0.936598763296218,0.4514937996864319,3764.1904296875,40.003414154052734,17.64120427967156
2305605,Independência,23,CE,Ceará,2,Nordeste,0.067682911385196,0.0,882.043701171875,21.114070892333984,0.8901166359729895
2305654,Ipaporanga,23,CE,Ceará,2,Nordeste,0.1739070227976595,0.0,495.2872009277344,16.881744384765625,2.668539325842697
2305704,Ipaumirim,23,CE,Ceará,2,Nordeste,0.5549966869726909,0.0,624.92626953125,19.35850715637207,10.923623445825932
2305803,Ipu,23,CE,Ceará,2,Nordeste,0.6092877238456481,0.0,1534.7957763671875,45.91489028930664,11.353711790393014
2305902,Ipueiras,23,CE,Ceará,2,Nordeste,0.3331996314668187,0.0,2000.1973876953125,40.311973571777344,6.913210061635849
2306009,Iracema,23,CE,Ceará,2,Nordeste,0.1561034185154408,0.0,529.8150024414062,16.284257888793945,3.1820860341779613
2306108,Irauçuba,23,CE,Ceará,2,Nordeste,0.1592757132600103,0.0,943.2307739257812,20.72420310974121,2.7186761229314422
2306207,Itaiçaba,23,CE,Ceará,2,Nordeste,0.7200883783391405,0.0,619.99609375,18.91316032409668,21.13821138211382
2306256,Itaitinga,23,CE,Ceará,2,Nordeste,4.339337720239297,1.6343995332717896,2686.050048828125,45.6723861694336,57.83521809369952
2306306,Itapajé,23,CE,Ceará,2,Nordeste,0.7698602999578188,0.5857325792312622,1340.3267822265625,25.341550827026367,21.88397472716829
2306405,Itapipoca,23,CE,Ceará,2,Nordeste,0.9254438549169376,0.6744462251663208,5974.66552734375,43.09999084472656,24.55080545229244
2306504,Itapiúna,23,CE,Ceará,2,Nordeste,0.2616730819415448,0.0,626.70703125,10.088435173034668,4.88517745302714
2306553,Itarema,23,CE,Ceará,2,Nordeste,0.6904231373856707,0.5196284055709839,1981.514404296875,25.45448875427246,18.806384455239417
2306603,Itatira,23,CE,Ceará,2,Nordeste,0.3693034461119294,0.0,1237.9051513671875,21.87037467956543,6.384248210023866
2306702,Jaguaretama,23,CE,Ceará,2,Nordeste,0.1058330216106045,0.0,782.7410278320312,23.29913330078125,1.703623580313683
2306801,Jaguaribara,23,CE,Ceará,2,Nordeste,0.2348965023007282,0.0,588.650634765625,25.20484733581543,3.9505187549880287
2306900,Jaguaribe,23,CE,Ceará,2,Nordeste,0.2356713324224404,0.0,1790.866455078125,40.54122924804688,3.78997236478484
2307007,Jaguaruana,23,CE,Ceará,2,Nordeste,0.7726509268991012,0.0,2664.873046875,25.56758689880371,27.776167004928965
2307106,Jardim,23,CE,Ceará,2,Nordeste,0.5226083795050439,0.0,1159.1453857421875,29.90509986877441,13.074842200180342
2307205,Jati,23,CE,Ceará,2,Nordeste,0.5156968613385835,0.0,770.4511108398438,24.793041229248047,11.981258366800535
2307254,Jijoca De Jericoacoara,23,CE,Ceará,2,Nordeste,1.473661150251116,0.6797983646392822,1237.8753662109375,27.864154815673828,34.48275862068966
2307304,Juazeiro Do Norte,23,CE,Ceará,2,Nordeste,9.870218854465138,2.5843331813812256,10334.119140625,86.39691162109375,77.5549188156638
2307403,Jucás,23,CE,Ceará,2,Nordeste,0.252505081888888,0.0,963.0543823242188,20.136667251586918,4.771893025694808
2307502,Lavras Da Mangabeira,23,CE,Ceará,2,Nordeste,0.3351375864097511,0.0,1286.258056640625,29.719724655151367,5.184992183428869
2307601,Limoeiro Do Norte,23,CE,Ceará,2,Nordeste,1.3881780617398367,0.6843464374542236,4165.92236328125,47.21697998046875,33.68877040986338
2307635,Madalena,23,CE,Ceará,2,Nordeste,0.183597333188514,0.0,741.1824340820312,21.541757583618164,3.022046073817191
2307650,Maracanaú,23,CE,Ceará,2,Nordeste,21.654117647058825,14.803384780883787,9203.0,165.94635009765625,98.82352941176472
2307700,Maranguape,23,CE,Ceará,2,Nordeste,1.3272084346433886,0.8280291557312012,3121.59423828125,29.45611953735352,38.52040816326531
2307809,Marco,23,CE,Ceará,2,Nordeste,0.4375486283544627,0.0,1015.9879150390624,36.280269622802734,10.034453057708872
