country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Reunion,True,0.0,100.0,100.0,95.2,43.8,0.0,0.0,100.0,99.7,51.0,3.7,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Romania,False,0.0,100.0,99.3,65.7,32.3,10.5,0.0,100.0,92.5,24.3,1.3,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Russia,False,1.7,98.3,92.7,80.9,61.8,32.0,66.5,33.5,16.0,4.9,0.6,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Rwanda,False,9.9,90.1,28.0,10.2,0.5,0.0,25.0,75.0,13.4,1.9,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Samoa,False,31.7,68.3,62.1,35.6,0.0,0.0,79.6,20.4,4.3,0.8,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
San Marino,False,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Sao Tome and Principe,False,5.6,94.4,80.5,41.0,0.0,0.0,25.5,74.5,26.1,5.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Saudi Arabia,False,0.0,100.0,99.8,99.1,95.9,83.0,28.3,71.7,43.0,17.3,3.3,0.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Senegal,False,33.5,66.5,45.5,34.0,15.5,0.0,81.9,18.1,4.3,0.9,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Serbia,False,0.0,100.0,100.0,92.4,39.4,13.6,0.0,100.0,100.0,57.9,3.1,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Seychelles,False,0.0,100.0,100.0,76.5,4.6,0.0,0.0,100.0,99.6,55.6,0.4,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Sierra Leone,False,72.5,27.5,19.3,10.1,0.0,0.0,91.1,8.9,1.3,0.1,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Singapore,False,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Slovakia,False,0.0,100.0,99.8,82.3,23.8,4.8,0.0,100.0,98.6,46.8,1.8,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Slovenia,False,0.0,100.0,100.0,95.9,27.0,0.4,0.0,100.0,100.0,68.4,1.9,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Solomon Islands,False,61.6,38.4,33.7,30.6,0.0,0.0,94.3,5.7,1.2,0.2,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Somalia,False,74.4,25.6,21.7,13.3,0.0,0.0,98.8,1.2,0.2,0.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
South Africa,False,2.2,97.8,83.7,66.8,46.1,10.9,37.7,62.3,27.4,7.5,1.1,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
South Korea,False,0.0,100.0,100.0,99.8,91.0,66.4,0.0,100.0,100.0,89.4,19.1,3.5,https://www.science.org/doi/10.1126/sciadv.1600377#T2
