code_muni,name_muni,name_state,abbrev_state,pop_2022_ibge,area_km2_ibge,densidade_2022_ibge_hab_km2,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1,share_radiancia_total_ce_pct,radiancia_total_per_capita_2022,hotspot_index_max_over_mean,log1p_densidade_2022,log1p_radiancia_media,radiancia_media_esperada_log,radiancia_media_esperada,residuo_luminoso_log,residuo_luminoso_std,residuo_luminoso_percentil,classe_residuo_luminoso,perfil_luminoso,rank_radiancia_total,rank_radiancia_media,rank_residuo_luminoso,rank_radiancia_per_capita,rank_area_acima_1,rank_hotspot_index
2310308,Parambu,Ceará,CE,31445,2314,13.59,0.1060972688037786,0.0,994.1314086914062,27.55436134338379,1.2593383137673426,0.2897489491922147,0.03161492792785518,259.70848631962116,2.6803363625346943,0.1008378457102742,-0.02108224495852662,-0.02086156794192798,0.12192009066880082,0.5771892695331267,80.43478260869566,mais luminoso que o esperado,perfil intermediário,83,174,37,159,178,4
2303931,Choró,Ceará,CE,12113,815,14.86,0.1469461953332464,0.0,484.1877136230469,7.853429794311523,1.487101669195751,0.14112106307829964,0.03997256778857813,53.4442536811325,2.7638002162067017,0.13710292800882418,0.01686174711086097,0.017004708766094407,0.1202411808979632,0.5692410413213036,79.8913043478261,mais luminoso que o esperado,perfil intermediário,150,169,38,106,174,91
2304301,Farias Brito,Ceará,CE,18217,531,34.34,0.643312928181607,0.4815867245197296,1385.052734375,18.02391815185547,16.76730143985137,0.40368664630486,0.0760307808297195,28.017341692144544,3.5650154668915506,0.49671428238137016,0.3811069116982513,0.4639041055177312,0.11560737068311888,0.5473038403367119,79.34782608695652,mais luminoso que o esperado,perfil intermediário,59,65,39,12,64,143
2309003,Mucambo,Ceará,CE,13666,192,71.11,1.2676582093451434,0.0,995.1116943359376,53.29807662963867,17.70700636942675,0.2900346626632186,0.07281660283447516,42.0445165697521,4.2781927309286685,0.8187476731619782,0.7053286107948946,1.0245118520747925,0.11341906236708355,0.5369440376863278,78.80434782608695,mais luminoso que o esperado,perfil intermediário,82,20,40,14,55,114
2306900,Jaguaribe,Ceará,CE,33726,1877,17.97,0.2356713324224404,0.0,1790.866455078125,40.54122924804688,3.78997236478484,0.5219648720137645,0.05310047011439616,172.0244403903669,2.9428587839469227,0.2116144113949811,0.09826461284709165,0.10325468184942206,0.11334979854788946,0.5366161316538897,78.26086956521739,mais luminoso que o esperado,contribuinte relevante no total estadual,46,143,41,45,143,12
2307601,Limoeiro Do Norte,Ceará,CE,59560,745,80.0,1.3881780617398367,0.6843464374542236,4165.92236328125,47.21697998046875,33.68877040986338,1.2141972546325448,0.06994496916187458,34.01363358766594,4.394449154672439,0.8705307579681951,0.7581806254871957,1.1343894320739536,0.11235013248099945,0.5318835521113373,77.71739130434783,mais luminoso que o esperado,contribuinte relevante no total estadual,16,16,42,19,22,132
2313302,Tauá,Ceará,CE,61223,4011,15.27,0.1470001654762637,0.0,2387.4296875,60.05149459838867,1.877963179607167,0.6958388369742717,0.03899563378958888,408.5131060588646,2.7893229212309465,0.13714998241597973,0.028464773743622995,0.02887376682506751,0.10868520867235673,0.5145332148174497,77.17391304347827,mais luminoso que o esperado,contribuinte relevante no total estadual,33,168,43,113,170,1
2304251,Cruz,Ceará,CE,29628,336,88.2,1.4776884902863814,0.8891764879226685,1997.8348388671875,29.68644905090332,42.40412979351032,0.5822877540740246,0.06743063449666489,20.089788359290928,4.490881039585964,0.9073260651701373,0.8020200903023942,1.2300412661535283,0.10530597486774307,0.49853537983744567,76.63043478260869,mais luminoso que o esperado,contribuinte relevante no total estadual,41,13,44,21,12,157
2303105,Cariré,Ceará,CE,17632,756,23.34,0.3708034325146612,0.0,1130.2088623046875,34.92716217041016,7.119422572178478,0.3294100029004974,0.06409986741746186,94.19320053040765,3.1921210875593813,0.3153970150381326,0.21158321072343744,0.23563277924850715,0.10381380431469517,0.4914712050422332,76.08695652173914,mais luminoso que o esperado,perfil intermediário,77,102,45,26,104,47
2310407,Paramoti,Ceará,CE,10384,539,19.26,0.2604112905614516,0.0,566.6549682617188,22.252906799316406,3.722426470588236,0.16515692007408164,0.05457000849978031,85.4529258922906,3.0086484988205373,0.23143808878013353,0.1281736610108828,0.13675039477958875,0.10326442776925074,0.4888703683366151,75.54347826086956,mais luminoso que o esperado,perfil intermediário,141,133,46,41,146,57
